,investment,company,sector,horizon,amount,Volatility_Buy,Volatility_sell,Sharpe Ratio,expected_return (yearly),PE_ratio,ESG_ranking
0,1,16,2,6,50,0.14018854211441864,0.13949519746387268,0.14018854211441864,0.002752121673149135,22.08,22.3
1,1,5,0,20,50000,0.48040007486386754,0.48098810691061106,0.48040007486386754,0.027020118147106018,45.63,12.9
2,0,23,4,1,4000,0.0,0.0,0.0,3.147849421722661e-05,0.0,26.9
3,1,25,4,70,300,0.18388394330753122,0.19118918742903102,0.18388394330753122,-0.007574714391140266,36.5,24.8
4,1,16,2,540,15000,0.18929207773891552,0.1697579375809448,0.18929207773891552,0.24769095058342216,26.89,22.3
5,1,11,1,5,200,0.32437386616685776,0.3735090158512711,0.32437386616685776,0.0006105319051437138,10.39,16.3
7,1,23,4,420,100,0.2968046110750212,0.25893559419813555,0.2968046110750212,0.013220967571235174,4.65,26.9
8,0,14,2,120,2000,0.30780855605354696,0.3049996118778862,0.30780855605354696,0.03751939150105219,12.91,14.8
9,1,19,3,2,1000,0.11600839930082545,0.11664817025992186,0.11600839930082545,0.0004350878241765529,32.49,17.6
11,0,1,0,30,300,0.1862794226702295,0.19396157497704444,0.1862794226702295,0.027023648517237257,245.69,27.4
12,0,13,2,120,4000,0.3973846610491259,0.41906480637656535,0.3973846610491259,0.002854073159203858,11.73,14.5
14,1,4,0,70,1500,0.17814425701964492,0.1876311657316463,0.17814425701964492,0.05784468748838709,34.39,31.6
15,1,2,0,30,5000,0.21404961525165064,0.1891302675145533,0.21404961525165064,0.01793732215266843,13.96,14.7
16,1,11,1,15,100,0.2604356054350987,0.25720355940721384,0.2604356054350987,0.001831595715431141,13.32,16.3
17,1,7,1,5,200,0.23005332961780947,0.22933109752859007,0.23005332961780947,0.000560033143719184,18.68,30.6
18,1,19,3,660,50000,0.12579647329251967,0.13593998068163285,0.12579647329251967,0.14357898197826247,17.15,17.6
19,0,24,4,1,10000,0.31283258375197714,0.31283258375197714,0.31283258375197714,-0.0003861133967433037,0.0,30.0
22,1,23,4,210,50,0.2963371578240621,0.3061133692908963,0.2963371578240621,0.006610483785617587,4.65,26.9
23,1,0,0,300,2000,0.21413527407201768,0.2205730629795377,0.21413527407201768,0.20199626882338745,14.21,16.5
24,1,23,4,6,100,0.5350652931527089,0.4923923061329123,0.5350652931527089,0.00018887096530335962,5.8,26.9
25,0,13,2,10,50,0.4128377273177734,0.4136068344451032,0.4128377273177734,0.00023783942993365484,5.03,14.5
26,1,22,4,150,500,0.18979685929386614,0.19118285481793476,0.18979685929386614,0.06050625185786764,15.95,19.8
27,0,7,1,600,5000,0.23243968182147334,0.251855727540795,0.23243968182147334,0.06720397724630209,23.98,30.6
28,1,27,4,50,3000,0.19503737251769662,0.19217337021569425,0.19503737251769662,0.02083037233655991,11.07,27.9
29,1,14,2,420,3000,0.18443274943978108,0.2118909849926943,0.18443274943978108,0.13131787025368266,20.44,14.8
30,1,17,2,2,4000,0.4814679023734451,0.4814165310058234,0.4814679023734451,0.001437251773732825,9.82,12.0
31,0,15,2,10,20000,0.22500462695794396,0.2237604100895683,0.22500462695794396,0.00018779659518246956,10.38,12.9
33,1,7,1,420,15000,0.23225613311740415,0.24808070692648743,0.23225613311740415,0.04704278407241146,10.06,30.6
34,0,8,1,300,4000,0.23805410433380358,0.1707721934905738,0.23805410433380358,-0.007537446433969711,13.82,28.5
35,1,23,4,210,5000,0.269659355057332,0.2904493620058753,0.269659355057332,0.006610483785617587,5.12,26.9
37,1,16,2,15,25000,0.17712297430331034,0.17419036159202947,0.17712297430331034,0.006880304182872838,22.77,22.3
38,1,27,4,300,100,0.17264386805935808,0.19851480881854058,0.17264386805935808,0.12498223401935947,12.43,27.9
39,0,24,4,720,10000,0.24300415724605853,0.5111174907446959,0.24300415724605853,-0.27800164565517865,14.53,30.0
40,0,11,1,60,500,0.22115682986192786,0.26158709982270845,0.22115682986192786,0.007326382861724564,15.58,16.3
41,0,6,1,100,20000,0.21595286246216633,0.2134154652733748,0.21595286246216633,-0.003281346707482722,15.5,29.7
42,1,22,4,180,500,0.13309203398016975,0.19261634479921663,0.13309203398016975,0.07260750222944116,16.51,19.8
43,1,26,4,270,400,0.224705869461436,0.23602975108708682,0.224705869461436,0.13988380015169846,42.16,26.3
45,0,2,0,50,50,0.2414904832943823,0.26906959739005937,0.2414904832943823,0.029895536921114046,27.33,14.7
46,0,5,0,7,15000,0.24087653646298263,0.24068159223488544,0.24087653646298263,0.009457041351487108,18.37,12.9
47,1,7,1,15,300,0.23086151316162284,0.23240065959069997,0.23086151316162284,0.0016800994311575524,5.43,30.6
49,0,9,1,540,2000,0.5171730603231269,0.4360609906424322,0.5171730603231269,0.7630080585021171,0.0,31.1
50,1,27,4,70,50,0.21347550189563724,0.22281054330914293,0.21347550189563724,0.029162521271183878,8.91,27.9
51,1,20,3,720,50000,0.16397605646220192,0.1632799092765205,0.16397605646220192,0.15238753976693972,17.58,25.1
52,0,23,4,4,50,0.0,0.0,0.0,0.00012591397686890644,0.0,26.9
54,1,17,2,40,5000,0.34997587039978373,0.383165284918809,0.34997587039978373,0.0287450354746565,12.58,12.0
55,1,4,0,660,2000,0.3057053606724635,0.170380186540838,0.3057053606724635,0.5453927677476498,81.77,31.6
56,1,13,2,20,200,0.22182167649835424,0.22608333711821912,0.22182167649835424,0.0004756788598673097,10.21,14.5
57,1,2,0,80,1500,0.21665917158047063,0.21081553277897033,0.21665917158047063,0.04783285907378248,16.7,14.7
58,0,9,1,15,50,0.6046964357777344,0.6004734038001364,0.6046964357777344,0.021194668291725477,0.0,31.1
59,0,18,3,30,50000,0.14565291481331025,0.14619784248203324,0.14565291481331025,0.005294395545343201,22.29,25.1
61,1,20,3,240,15000,0.16493846765041614,0.1442778761750042,0.16493846765041614,0.050795846588979905,22.46,25.1
62,1,5,0,420,3000,0.47864494803760066,0.3539596357924679,0.47864494803760066,0.5674224810892264,45.63,12.9
63,0,16,2,5,20000,0.13978211183471867,0.1393507843876201,0.13978211183471867,0.0022934347276242794,25.12,22.3
64,0,5,0,15,2000,0.2245365872631073,0.22284948499071625,0.2245365872631073,0.020265088610329513,20.66,12.9
66,1,2,0,540,10000,0.2230720295906462,0.18859784536825314,0.2230720295906462,0.32287179874803174,45.35,14.7
67,0,13,2,480,5000,0.2251010742916265,0.40034029740075183,0.2251010742916265,0.011416292636815432,11.36,14.5
68,1,15,2,420,3000,0.21171144643242787,0.22692862539415892,0.21171144643242787,0.007887456997663722,9.38,12.9
69,1,4,0,360,4000,0.31616877812351124,0.18705030025744812,0.31616877812351124,0.2974869642259908,70.43,31.6
70,1,12,2,80,3000,0.23504230142461396,0.24617602782587153,0.23504230142461396,0.021267555853787562,28.02,27.3
71,0,6,1,480,15000,0.2224049859737234,0.23178091975224568,0.2224049859737234,-0.015750464195917063,6.5,29.7
72,0,21,3,540,500,0.0,0.2568861596853682,0.0,-0.09135674767303793,0.0,20.5
73,0,12,2,30,200,0.16420536180054515,0.18513983101703577,0.16420536180054515,0.007975333445170336,13.21,27.3
74,1,22,4,60,3000,0.24860016223458728,0.24601890862926692,0.24860016223458728,0.024202500743147056,10.58,19.8
75,0,26,4,10,100,0.21778332356568847,0.22105050526637401,0.21778332356568847,0.005180881487099943,13.22,26.3
76,1,13,2,15,25000,0.4290198647883075,0.43815152950691155,0.4290198647883075,0.00035675914490048224,6.84,14.5
79,1,5,0,3,25000,0.21687289567755322,0.21859236745444957,0.21687289567755322,0.004053017722065903,18.37,12.9
80,0,13,2,600,5000,0.22755785393456074,0.3940467399207273,0.22755785393456074,0.01427036579601929,12.68,14.5
81,1,2,0,3,10000,0.17793150614804829,0.1794535314226624,0.17793150614804829,0.0017937322152668427,56.34,14.7
82,0,21,3,180,5000,0.2982452848705154,0.2823798058561543,0.2982452848705154,-0.030452249224345977,58.45,20.5
83,1,11,1,120,25000,0.31334061553203324,0.3860606638885901,0.31334061553203324,0.014652765723449129,12.02,16.3
85,1,25,4,5,200,0.2642907843666248,0.26508371217666993,0.2642907843666248,-0.0005410510279385904,10.34,24.8
86,1,20,3,420,50,0.1593977161438787,0.11875537075536066,0.1593977161438787,0.08889273153071484,20.08,25.1
87,0,1,0,1,4000,0.3306624558057174,0.3305908012836154,0.3306624558057174,0.0009007882839079086,854.68,27.4
88,1,24,4,60,1500,0.5253482570416501,0.4880374298879562,0.5253482570416501,-0.02316680380459822,0.0,30.0
